"",Label,207.101994182676 / 846.600036621094,475.246553016591 / 968.400024414062,248.129623375227 / 224.399993896484,253.146517153927 / 842.700012207031,261.096528758042 / 80.7000045776367,330.225905259173 / 857.699951171875,312.214993595209 / 936.299987792969,257.150554392743 / 1125
MS 39,TG,1079.83206029643,1296.36430466672,1517.63886194064,652.002020313026,1257.39190799402,263.393151578113,528.57895514158,806.541154856912
MS 26,TG,1161.65112305308,1519.42778789023,1985.49399963415,923.189238156023,1343.01719136311,606.348897546979,653.275293533105,1298.97792264423
MS 28,TG,1199.4137674023,1622.38016476263,2201.42714010808,1048.35256946818,1382.53655291807,764.636164917225,710.827449713808,1526.25643085376
KMS 10,CG,2237.8425540521,2544.50016675875,2845.25907309452,1203.3778314439,839.762607265223,1056.88850425141,656.427326034472,3047.55462227671
MS 20,TG,1180.53244522769,1570.90397632643,2093.46056987111,985.7709038121,1362.77687214059,685.492531232102,682.051371623456,1412.61717674899
KMS 11,CG,2552.40947620381,3387.7195667643,4753.52048115873,2247.49657271622,357.360200449867,1674.5493196784,1300.24272113386,3499.21178070403
MS 33,TG,985.547230181853,1053.70043641678,868.987439974339,338.00271169493,1970.32392388,569.074729144225,220.4844710963,1680.67529431852
MS 11,TG,1174.23867116949,1553.7452468477,2057.47171312546,964.910348593408,1356.19031188143,659.111320003728,672.459345593339,1374.73742538074
KMS 52,CG,2162.31726535366,2338.59541301396,2413.39279214666,953.051168819597,760.723884155292,740.313969510921,541.323013673065,2592.99760585765
MS 62,TG,1218.29508957691,1673.85635319882,2309.39371034504,1110.93423512425,1402.29623369556,843.779798602348,739.60352780416,1639.89568495852
KMS 51,CG,1841.57273243774,2027.44462686329,2049.1601132929,807.027282288752,844.864910405043,555.645490912301,474.178831462244,2312.98889062466
MS 41,TG,1086.36377840712,1877.46745141011,3024.82673386092,1590.72700515417,1684.03406772014,1450.54765685496,960.220126496857,2496.27951077318
KMS 9,CG,1910.80424707799,2216.19065112934,2445.0375374951,1036.49338969436,917.317073255813,845.838814424418,579.691117793534,2729.66615567546
KMS 56,CG,2112.08323618203,2750.55292051772,3705.49952413753,1705.12213703023,316.356581775561,988.63782774067,1050.85004435081,2499.48778947419
MS 9,TG,929.019426952021,1448.49921444181,2125.10531521956,1069.21312468687,1519.37006124111,791.017376145599,720.419475743925,1549.2857265668
MS 60,TG,935.313201010225,1465.65794392054,2161.09417196521,1090.07367990556,1525.95662150027,817.398587373973,730.011501774043,1587.16547793506
MS 43,TG,847.200364195371,1225.43573121829,1657.25017752604,798.025906843871,1433.74477787202,448.061630176733,595.723137352401,1056.84895877949
KMS 42,CG,1942.27311736901,2301.984298523,2624.98182122338,1140.79616578783,950.249874551617,977.74487056629,627.65124794412,2919.06491251674
KMS 31,CG,2319.77778010275,3316.79099331588,4893.13179674414,2393.52045924707,533.713070327871,1859.21779827702,1367.38690334468,3749.51958462661
KMS 40,CG,2212.78362111329,3025.09259217744,4281.32123206801,2038.8910205293,421.741545922136,1410.73720739466,1204.32246083268,3105.56381136627
KMS 29,CG,2795.84833857457,4280.37631462535,4625.8671121045,2059.75157574799,257.555165627014,1437.11841862303,1213.9144868628,4038.69487340798
MS 22,TG,1424.09308835693,2478.27779811852,1856.9886300354,796.934926506156,2074.70225709114,1149.46137616846,431.50904375888,3394.43067943837
KMS 36,CG,2745.61992686742,4157.82355272654,4229.13768735778,1891.77615366074,1016.59310332713,1927.46847478776,972.964185028341,5177.98727244737
MS 30,TG,1241.57364066901,1980.67464323529,813.311784411414,191.978825164086,1883.69200957547,384.406250545605,153.340288885479,2295.91788975897
KMS 25,CG,2871.37362727301,4486.28106837014,5057.73339305235,2310.0782383723,336.593888736945,1753.69295336352,1329.01879922421,4493.25188982704
