,Label,Benzyl 2-methyl-3-oxobutanoate,LysoPA(20:4/0:0),Gln-Thr,QH(2),Asn-Gln,6-Keto-decanoylcarnitine,"2-trans,4-cis-Decadienoylcarnitine",6-Hydroxy-3-oxotetradecenoic acid
MS 39,TG,1079.83206,1296.364305,1517.638862,652.0020203,1257.391908,263.3931516,528.5789551,806.5411549
MS 26,TG,1161.651123,1519.427788,1985.494,923.1892382,1343.017191,606.3488975,653.2752935,1298.977923
MS 28,TG,1199.413767,1622.380165,2201.42714,1048.352569,1382.536553,764.6361649,710.8274497,1526.256431
KMS 10,CG,2237.842554,2544.500167,2845.259073,1203.377831,839.7626073,1056.888504,656.427326,3047.554622
MS 20,TG,1180.532445,1570.903976,2093.46057,985.7709038,1362.776872,685.4925312,682.0513716,1412.617177
KMS 11,CG,2552.409476,3387.719567,4753.520481,2247.496573,357.3602004,1674.54932,1300.242721,3499.211781
MS 33,TG,985.5472302,1053.700436,868.98744,338.0027117,1970.323924,569.0747291,220.4844711,1680.675294
MS 11,TG,1174.238671,1553.745247,2057.471713,964.9103486,1356.190312,659.11132,672.4593456,1374.737425
KMS 52,CG,2162.317265,2338.595413,2413.392792,953.0511688,760.7238842,740.3139695,541.3230137,2592.997606
MS 62,TG,1218.29509,1673.856353,2309.39371,1110.934235,1402.296234,843.7797986,739.6035278,1639.895685
KMS 51,CG,1841.572732,2027.444627,2049.160113,807.0272823,844.8649104,555.6454909,474.1788315,2312.988891
MS 41,TG,1086.363778,1877.467451,3024.826734,1590.727005,1684.034068,1450.547657,960.2201265,2496.279511
KMS 9,CG,1910.804247,2216.190651,2445.037537,1036.49339,917.3170733,845.8388144,579.6911178,2729.666156
KMS 56,CG,2112.083236,2750.552921,3705.499524,1705.122137,316.3565818,988.6378277,1050.850044,2499.487789
MS 9,TG,929.019427,1448.499214,2125.105315,1069.213125,1519.370061,791.0173761,720.4194757,1549.285727
MS 60,TG,935.313201,1465.657944,2161.094172,1090.07368,1525.956622,817.3985874,730.0115018,1587.165478
MS 43,TG,847.2003642,1225.435731,1657.250178,798.0259068,1433.744778,448.0616302,595.7231374,1056.848959
KMS 42,CG,1942.273117,2301.984299,2624.981821,1140.796166,950.2498746,977.7448706,627.6512479,2919.064913
KMS 31,CG,2319.77778,3316.790993,4893.131797,2393.520459,533.7130703,1859.217798,1367.386903,3749.519585
KMS 40,CG,2212.783621,3025.092592,4281.321232,2038.891021,421.7415459,1410.737207,1204.322461,3105.563811
KMS 29,CG,2795.848339,4280.376315,4625.867112,2059.751576,257.5551656,1437.118419,1213.914487,4038.694873
MS 22,TG,1424.093088,2478.277798,1856.98863,796.9349265,2074.702257,1149.461376,431.5090438,3394.430679
KMS 36,CG,2745.619927,4157.823553,4229.137687,1891.776154,1016.593103,1927.468475,972.964185,5177.987272
MS 30,TG,1241.573641,1980.674643,813.3117844,191.9788252,1883.69201,384.4062505,153.3402889,2295.91789
KMS 25,CG,2871.373627,4486.281068,5057.733393,2310.078238,336.5938887,1753.692953,1329.018799,4493.25189
MS 46,TG,1688.309818,3184.227362,3477.339184,1674.169226,1539.607368,1556.072502,998.5882306,3543.049827
KMS 27,CG,2657.385309,3902.884266,3834.112264,1600.819361,112.6508399,856.7317716,1002.889914,3205.340343
MS 7,TG,1518.377918,2720.941666,2505.640052,1110.934235,1361.770241,843.7797986,739.6035278,2520.29654
KMS 58,CG,2726.616824,4091.63029,4229.989688,1830.285468,185.1030028,1146.925095,1108.402201,3622.017608
MS 42,TG,1468.027726,2583.671831,2217.729198,944.0497934,1309.077759,632.7301088,662.8673196,2217.258529
MS 5,TG,1048.110053,1350.272474,2516.132497,881.4681277,1430.503256,553.5864751,634.0912415,1036.596123
MS 55,TG,1041.816279,1333.113745,2480.143641,860.6075725,1423.916696,527.2052639,624.4992154,998.7163721
KMS 59,CG,2256.348958,2720.961098,4240.482133,1600.819361,253.8360176,856.7317716,1002.889914,2138.317192
MS 12,TG,922.2345719,1007.097885,1796.355362,464.2570233,1298.772051,25.96225052,442.2507209,279.0010961
MS 29,TG,815.3621936,730.1165574,1075.726227,108.5366043,1998.530946,278.8814056,114.9721848,1077.375733
KMS 44,CG,2313.114706,2890.106737,4455.563273,1787.473378,1124.84548,1795.562419,925.0040549,3921.565364
KMS 1,CG,2067.657517,2220.916288,3051.99786,973.911724,867.9696296,766.6951807,550.9150397,2444.255061
MS 27,TG,1016.641183,1264.478827,2336.188214,777.1653516,1397.570455,421.6804189,586.1311113,847.1973666
MS 31,TG,1111.047794,1521.859769,2876.021065,1090.07368,1496.368859,817.3985874,730.0115018,1415.393637
MS 58,TG,1136.22289,1590.494687,3019.976492,1173.515901,1522.7151,922.9234323,768.3796059,1566.912643
KMS 2,CG,2866.883843,2447.134966,3652.517053,1036.49339,906.0480882,845.8388144,579.6911178,2342.013542
KMS 48,CG,3036.693962,2895.703588,4733.034756,1600.819361,272.1547954,856.7317716,1002.889914,1922.436419
MS 47,TG,1526.475682,716.1130231,1172.401426,-120.9295031,1944.397561,-11.31191788,9.459898434,444.8176953
MS 4,TG,1859.923926,1610.808612,3188.629404,985.7709038,1481.754835,685.4925312,682.0513716,1010.114108
KMS 21,CG,3168.863217,3256.036907,5488.800748,2038.891021,410.4725608,1410.737207,1204.322461,2717.911198
KMS 3,CG,3112.21925,3101.608342,5164.901037,1851.146024,351.1935185,1173.306306,1117.994227,2376.993436
MS 3,TG,1803.27996,1456.380046,2864.729693,798.0259068,1422.475793,448.0616302,595.7231374,669.1963456
KMS 54,CG,2797.652328,2258.388942,3256.639629,807.0272823,833.5959253,555.6454909,474.1788315,1925.336277
MS 34,TG,1664.938711,1093.605072,1964.156274,338.0027117,2089.301887,569.0747291,220.4844711,1278.172225
KMS 8,CG,2835.414973,2361.341319,3472.572769,932.1906136,873.1152869,713.9327583,531.7309876,2152.614786
KMS 19,CG,2543.647926,3059.374131,4852.72918,1955.4488,757.4823676,1305.212362,1165.954357,1969.197651
KMS 47,CG,2487.125741,2919.66264,4420.010899,1766.612822,1509.933745,1769.181207,915.4120288,3070.610299
MS 54,TG,1272.47128,1517.098212,2768.490977,1027.492014,1868.284003,738.2549537,701.2354237,488.6790691
MS 63,TG,1285.058828,1551.415671,2840.468691,1069.213125,1881.457124,791.0173761,720.4194757,564.4385718
KMS 26,CG,2254.2561,2284.789649,3088.423199,994.7722793,1266.231015,793.076392,560.5070657,1669.059498
MS 8,TG,1241.00241,1431.304565,2588.546693,923.1892382,1835.351202,606.3488975,653.2752935,299.2803122
MS 18,TG,1033.429647,879.7835661,1292.09585,233.6999356,2429.725133,437.168673,172.5243409,491.578927
MS 51,TG,1247.296184,1448.463294,2624.53555,944.0497934,1841.937762,632.7301088,662.8673196,337.1600636
KMS 33,CG,2631.760763,3299.596344,5356.573175,2247.496573,849.6942112,1674.54932,1300.242721,2499.51417
KMS 38,CG,2606.585667,3230.961426,5212.617748,2164.054352,823.3479702,1569.024475,1261.874617,2347.995165
KMS 60,CG,2544.315382,3531.737063,5009.36667,1621.679916,1176.208015,883.1129828,1012.48194,1405.578369
MS 35,TG,1336.076476,2161.048439,3285.017034,902.3286829,2352.875254,579.9676863,643.6832675,303.8573005
KMS 41,CG,2626.134444,3754.800546,5477.221808,1892.867134,1261.833298,1226.068729,1137.178279,1898.015137
MS 45,TG,1354.957798,2212.524627,3392.983605,964.9103486,2372.634934,659.11132,672.4593456,417.4965546
KMS 5,CG,2600.959348,3686.165628,5333.266381,1809.424913,1235.487057,1120.543884,1098.810175,1746.496131
MS 49,TG,1373.83912,2264.000816,3500.950175,1027.492014,2392.394615,738.2549537,701.2354237,531.1358087
KMS 35,CG,2556.90293,3566.054522,5081.344384,1663.401027,1189.381136,935.8754053,1031.665992,1481.337872
MS 24,TG,1342.37025,2178.207168,3321.005891,923.1892382,2359.461814,606.3488975,653.2752935,341.7370519
KMS 23,CG,2531.727833,3497.419604,4937.388957,1579.958806,1163.034895,830.3505604,993.2978882,1329.818866
KMS 30,CG,2418.561681,3203.279547,4180.770965,1203.377831,1856.20723,1056.888504,656.427326,2090.313751
KMS 17,CG,2857.363015,3535.079411,6959.839511,2226.636017,1138.384743,1648.168108,1290.650695,2755.205196
MS 38,TG,1617.65524,2078.597139,5055.545591,1402.982008,2282.119181,1213.116756,873.8918922,1464.085371
KMS 24,CG,2851.069241,3517.920681,6923.850654,2205.775462,1131.798183,1621.786897,1281.058669,2717.325445
KMS 6,CG,2744.075082,3226.22228,6312.040089,1851.146024,1019.826659,1173.306306,1117.994227,2073.369672
MS 16,TG,1466.604662,1666.787632,4191.813029,902.3286829,2124.041734,579.9676863,643.6832675,554.9713381
MS 14,TG,1321.96964,1286.853928,3255.250753,421.4449326,2784.281268,674.5995741,258.8525752,1126.067467
KMS 13,CG,2731.487534,3191.904821,6240.062376,1809.424913,1006.653538,1120.543884,1098.810175,1997.610169
KMS 53,CG,2674.965349,3052.19333,5807.344094,1620.588936,1759.104916,1584.512729,848.2678466,3099.022816
KMS 14,CG,2762.956405,3277.698468,6420.00666,1913.727689,1039.58634,1252.44994,1146.770305,2187.008926
KMS 57,CG,2473.564579,2503.113986,4655.700679,953.0511688,1548.334987,740.3139695,541.3230137,1886.870773
KMS 20,CG,2664.789331,3318.757927,5308.38684,2435.24157,548.008112,1911.980221,1386.570955,3129.230262
KMS 45,CG,2343.928635,2458.379798,3364.136575,1370.262273,1023.823959,1267.938194,733.1635343,2639.693352
MS 59,TG,1280.324752,1467.624878,2576.349215,1131.79479,1540.251663,870.1610098,749.1955538,966.8761548
KMS 16,CG,2759.195942,3576.13887,5848.219691,2748.149898,646.8065159,2307.698389,1530.451346,3697.426532
KMS 22,CG,2551.501398,3009.900797,4660.587418,2059.751576,429.4500273,1437.118419,1213.914487,2447.394737
KMS 39,CG,2614.439138,3181.488092,5020.475986,2268.357128,495.3156299,1700.930531,1309.834747,2826.192251
MS 13,TG,1330.674944,1604.894714,2864.260069,1298.679232,1592.944145,1081.2107,825.9317621,1269.914166
KMS 18,CG,2683.670653,3370.234116,5416.35341,2497.823235,567.7677928,1991.123854,1415.347033,3242.869516
MS 17,TG,1104.099078,987.1804525,1568.661226,547.6992442,1355.827976,131.4870954,480.618825,-93.75688348
KMS 7,CG,2387.863272,2563.77383,3724.877143,1517.37714,258.1994606,751.2069267,964.5218101,1462.521201
KMS 12,CG,2956.649042,3775.700289,4961.153855,2268.357128,1425.918785,1700.930531,1309.834747,5017.053628
MS 32,TG,1326.849055,1270.093864,716.7322464,150.2577147,2973.016906,331.6438281,134.1562368,2819.719628
KMS 46,CG,2742.782504,3207.02056,3628.714155,1558.00727,2013.706156,1505.369095,819.4917685,5171.472491
KMS 32,CG,2623.200797,2881.0047,2944.925877,1161.656721,1888.561511,1004.126082,637.243274,4451.757215
KMS 4,CG,2887.417527,3586.954264,4565.276431,2038.891021,1353.466622,1410.737207,1204.322461,4600.376363
KMS 49,CG,3013.293008,3930.128854,5285.053566,2456.102125,1485.197827,1938.361432,1396.162981,5357.97139
MS 6,TG,1427.54944,1544.633535,1292.553954,484.0265982,3078.40187,753.7432077,287.6286533,3425.79565
MS 53,TG,1345.730377,1321.570052,824.6988166,212.8393804,2992.776586,410.7874618,162.9323149,2933.358882
MS 10,TG,1238.736218,1029.871651,212.8882519,-141.7900583,2880.805062,-37.69312911,-0.132127596,2289.403109
MS 37,TG,1358.317925,1355.887511,896.6765301,254.5604908,3005.949707,463.5498842,182.116367,3009.118385
MS 23,TG,1105.083422,941.8992467,2376.138592,735.4442412,1745.095747,368.9179965,566.9470593,705.1271338
MS 36,TG,1230.958904,1285.073836,3095.915727,1152.655346,1876.826952,896.5422211,758.7875799,1462.722161
MS 56,TG,1199.490033,1199.280189,2915.971443,1048.352569,1843.894151,764.6361649,710.8274497,1273.323404
MS 15,TG,1186.902485,1164.96273,2843.99373,1006.631459,1830.721031,711.8737425,691.6433977,1197.563902
KMS 28,CG,2395.141391,2535.651354,4568.343366,1725.982692,654.0537923,1015.019039,1060.44207,2299.28497
MS 48,TG,1180.608711,1147.804,2808.004873,985.7709038,1824.13447,685.4925312,682.0513716,1159.68415
MS 61,TG,928.9795295,476.1718953,1259.632032,150.2577147,2372.40248,331.6438281,134.1562368,1086.824505
MS 25,TG,1249.840226,1336.550025,3203.882297,1215.237011,1896.586633,975.6858547,787.563658,1576.361415
KMS 55,CG,2439.197809,2655.76246,4820.265363,1872.006579,700.1597141,1199.687518,1127.586253,2564.44323
MS 21,TG,1237.252678,1302.232566,3131.904584,1173.515901,1883.413513,922.9234323,768.3796059,1500.601913
MS 2,TG,2228.3873,1326.874598,2592.947791,860.6075725,2842.600549,527.2052639,624.4992154,3486.494115
KMS 15,CG,3575.089235,3075.05527,5109.052275,2038.891021,1810.837637,1410.737207,1204.322461,5421.569713
MS 52,TG,2196.91843,1241.08095,2413.003507,756.3047964,2809.667748,395.2992077,576.5390853,3297.095358
