"",annot_camera.index,annot_camera.name,annot_camera.isotopes,annot_camera.adduct,annot_camera.mz,annot_camera.rt
"1",1,81.5179849604359 / 39.9000015258789,"","",81.5179849604359,39.9000015258789
"2",2,82.0191760858652 / 39.9000015258789,"","",82.0191760858652,39.9000015258789
"3",3,83.0576473574949 / 30.8999996185303,"","",83.0576473574949,30.8999996185303
"4",4,83.0576492187378 / 25.5,"","",83.0576492187378,25.5
"5",5,91.0219167335147 / 39.6279373168945,"","",91.0219167335147,39.6279373168945
"6",6,94.0429886347041 / 39.5999984741211,"","",94.0429886347041,39.5999984741211
"7",7,94.5444244486798 / 39.5999984741211,"","",94.5444244486798,39.5999984741211
"8",8,95.0423117613075 / 39.5999984741211,"","",95.0423117613075,39.5999984741211
"9",9,100.074392965554 / 127.199996948242,"","",100.074392965554,127.199996948242
"10",10,102.032572747331 / 39.5999984741211,[1][M]2+,"",102.032572747331,39.5999984741211
"11",11,102.533098879328 / 39.5999984741211,[1][M+1]2+,"",102.533098879328,39.5999984741211
"12",12,103.546527920434 / 39.2999992370605,"","",103.546527920434,39.2999992370606
"13",13,104.105360970295 / 46.5,"","",104.105360970295,46.5
"14",14,105.03217356251 / 450.562622070312,"","",105.03217356251,450.562622070313
"15",15,105.040591939202 / 43.7244701385498,"","",105.040591939202,43.7244701385498
"16",16,110.008023984773 / 39.9000015258789,"",[M+H-COCH2]+ 151.024,110.008023984773,39.9000015258789
"17",17,110.017890203856 / 1.79999995231628,"","",110.017890203856,1.79999995231628
"18",18,110.017890609979 / 27.8999996185303,"","",110.017890609979,27.8999996185303
"19",19,111.53505725799 / 39.2999992370605,"","",111.53505725799,39.2999992370606
"20",20,114.06495368033 / 48.5999984741211,"","",114.06495368033,48.5999984741211
"21",21,115.067766555075 / 48.2999992370605,"","",115.067766555076,48.2999992370606
"22",22,116.105855852907 / 51.247766494751,"","",116.105855852907,51.247766494751
"23",23,118.084702814779 / 49.2000007629395,"","",118.084702814779,49.2000007629395
"24",24,120.065011576347 / 52.7999992370605,"","",120.065011576347,52.7999992370606
"25",25,120.07918247977 / 131.699996948242,"",[M+H]+ 119.074 [M+3H]3+ 357.237,120.07918247977,131.699996948242
"26",26,121.029162900568 / 191.699996948242,"","",121.029162900568,191.699996948242
"27",27,121.028463516518 / 249,"","",121.028463516518,249
"28",28,121.070554826897 / 52.7999992370605,"","",121.070554826897,52.7999992370606
"29",29,121.070522229512 / 78.3000030517578,"","",121.070522229512,78.3000030517578
"30",30,121.070691718454 / 105.599998474121,"","",121.070691718454,105.599998474121
"31",31,121.071007286355 / 58.7999992370605,"",[M+2H-CO]2+ 268.125 [M+2H-C2H4]2+ 268.125,121.071007286355,58.7999992370606
"32",32,121.063187046906 / 1011.29998779297,"","",121.063187046906,1011.29998779297
"33",33,121.070631599901 / 96.6000061035156,"","",121.070631599901,96.6000061035156
"34",34,121.070668525859 / 139.5,"","",121.070668525859,139.5
"35",35,121.070718463847 / 201.899993896484,"","",121.070718463847,201.899993896484
"36",36,121.063162518084 / 988.350006103516,"","",121.063162518084,988.350006103516
"37",37,121.070714944662 / 112.5,"",[M+K]+ 82.1076 [M+Na]+ 98.0815 [M+H]+ 120.063,121.070714944662,112.5
