"",index,raw data name,raw data name round,RAMClustR mz_rt,RAMClustR adduct
"1",1,81.5179849604359 / 39.9000015258789,81.518 / 39.9,,
"2",2,82.0191760858652 / 39.9000015258789,82.019 / 39.9,,
"3",3,83.0576473574949 / 30.8999996185303,83.058 / 30.9,,
"4",4,83.0576492187378 / 25.5,83.058 / 25.5,,
"5",5,91.0219167335147 / 39.6279373168945,91.022 / 39.6,,
"6",6,94.0429886347041 / 39.5999984741211,94.043 / 39.6,,
"7",7,94.5444244486798 / 39.5999984741211,94.544 / 39.6,,
"8",8,95.0423117613075 / 39.5999984741211,95.042 / 39.6,,
"9",9,100.074392965554 / 127.199996948242,100.074 / 127.2,,
"10",10,102.032572747331 / 39.5999984741211,102.033 / 39.6,,
"11",11,102.533098879328 / 39.5999984741211,102.533 / 39.6,,
"12",12,103.546527920434 / 39.2999992370605,103.547 / 39.3,103.547 / 39.3,
"13",13,104.105360970295 / 46.5,104.105 / 46.5,,
"14",14,105.03217356251 / 450.562622070312,105.032 / 450.6,,
"15",15,105.040591939202 / 43.7244701385498,105.041 / 43.7,,
"16",16,110.008023984773 / 39.9000015258789,110.008 / 39.9,,
"17",17,110.017890203856 / 1.79999995231628,110.018 / 1.8,110.018 / 1.8,[M+H]+
"18",18,110.017890609979 / 27.8999996185303,110.018 / 27.9,,
"19",19,111.53505725799 / 39.2999992370605,111.535 / 39.3,,
"20",20,114.06495368033 / 48.5999984741211,114.065 / 48.6,,
"21",21,115.067766555075 / 48.2999992370605,115.068 / 48.3,,
"22",22,116.105855852907 / 51.247766494751,116.106 / 51.2,,
"23",23,118.084702814779 / 49.2000007629395,118.085 / 49.2,,
"24",24,120.065011576347 / 52.7999992370605,120.065 / 52.8,,
"25",25,120.07918247977 / 131.699996948242,120.079 / 131.7,120.079 / 131.7,
"26",26,121.029162900568 / 191.699996948242,121.029 / 191.7,,
"27",27,121.028463516518 / 249,121.028 / 249,,
"28",28,121.070554826897 / 52.7999992370605,121.071 / 52.8,,
"29",29,121.070522229512 / 78.3000030517578,121.071 / 78.3,,
"30",30,121.070691718454 / 105.599998474121,121.071 / 105.6,,
"31",31,121.071007286355 / 58.7999992370605,121.071 / 58.8,,
"32",32,121.063187046906 / 1011.29998779297,121.063 / 1011.3,,
"33",33,121.070631599901 / 96.6000061035156,121.071 / 96.6,,
"34",34,121.070668525859 / 139.5,121.071 / 139.5,,
"35",35,121.070718463847 / 201.899993896484,121.071 / 201.9,,
"36",36,121.063162518084 / 988.350006103516,121.063 / 988.4,,
"37",37,121.070714944662 / 112.5,121.071 / 112.5,,
"38",38,121.070759230425 / 116.399997711182,121.071 / 116.4,,
"39",39,121.070721601164 / 127.200012207031,121.071 / 127.2,,
"40",40,122.545478988868 / 39,122.545 / 39,,
"41",41,123.043374766355 / 39,123.043 / 39,,
"42",42,125.985197696051 / 39.9000015258789,125.985 / 39.9,,
"43",43,126.090427057418 / 210,126.09 / 210,126.09 / 210,[M+H-NH3-COCH2]+
"44",44,130.048188380852 / 67.2000045776367,130.048 / 67.2,,
"45",45,130.048242831943 / 509.399993896484,130.048 / 509.4,,
"46",46,130.064239986024 / 920.700012207031,130.064 / 920.7,130.064 / 920.7,
"47",47,130.107801050616 / 49.7999992370605,130.108 / 49.8,,
"48",48,131.047915070976 / 776.099975585938,131.048 / 776.1,131.048 / 776.1,[M+H-NH3-H2O-H2O]+
"49",49,132.043497154123 / 258.600006103516,132.043 / 258.6,,
"50",50,132.10044364407 / 84,132.1 / 84,,
"51",51,136.046639783945 / 48.2999992370605,136.047 / 48.3,,
"52",52,137.044290529425 / 62.8223495483398,137.044 / 62.8,,
"53",53,137.069476937039 / 46.2000007629395,137.069 / 46.2,,
"54",54,138.054013111344 / 50.7000007629395,138.054 / 50.7,,
"55",55,139.048861070664 / 57.2999992370605,139.049 / 57.3,,
"56",56,140.141720609831 / 2018.40002441406,140.142 / 2018.4,,
"57",57,140.141577618097 / 2065.04992675781,140.142 / 2065,,
"58",58,140.141527298946 / 1977.90002441406,140.142 / 1977.9,140.142 / 1977.9,[M+H]+
"59",59,141.139362086489 / 2018.09997558594,141.139 / 2018.1,,
"60",60,141.139048051894 / 2065.19995117188,141.139 / 2065.2,,
"61",61,142.085252500669 / 62.0888195037842,142.085 / 62.1,,
"62",62,142.157693475427 / 2010,142.158 / 2010,,
"63",63,142.157168378136 / 1969.80004882812,142.157 / 1969.8,,
"64",64,142.157214196967 / 2089.19995117188,142.157 / 2089.2,,
"65",65,142.157111072337 / 1990.65002441406,142.157 / 1990.7,,
"66",66,142.157946532521 / 1895.69995117188,142.158 / 1895.7,,
"67",67,143.116073524005 / 54.3295230865479,143.116 / 54.3,,
"68",68,144.100464830391 / 51.6000022888184,144.1 / 51.6,,
"69",69,144.100754544883 / 56.6285247802734,144.101 / 56.6,,
"70",70,144.136733535543 / 896.099975585938,144.137 / 896.1,,
"71",71,144.136843623196 / 878.099975585938,144.137 / 878.1,,
"72",72,145.104292272914 / 51.387825012207,145.104 / 51.4,,
"73",73,146.058995839916 / 280.800018310547,146.059 / 280.8,146.059 / 280.8,[M+H-COCH2]+
"74",74,146.079476817927 / 86.4000015258789,146.079 / 86.4,,
"75",75,147.046259945366 / 89.9999923706055,147.046 / 90,,
"76",76,150.053622946807 / 258.600006103516,150.054 / 258.6,,
"77",77,150.057729646018 / 63.5413055419922,150.058 / 63.5,,
"78",78,151.033812415747 / 39.5999984741211,151.034 / 39.6,,
"79",79,151.05994904907 / 110.100006103516,151.06 / 110.1,151.06 / 110.1,[M+H- C5H10O5+H2O]+
"80",80,151.142838875331 / 48.2999954223633,151.143 / 48.3,,
"81",81,152.020380634306 / 48,152.02 / 48,,
"82",82,152.035954723678 / 39.5999984741211,152.036 / 39.6,,
"83",83,152.145396059509 / 48,152.145 / 48,,
"84",84,153.03191438288 / 39.5999984741211,153.032 / 39.6,,
"85",85,153.064559767679 / 80.4000015258789,153.065 / 80.4,,
"86",86,154.058498074774 / 133.800003051758,154.058 / 133.8,154.058 / 133.8,[M+H- C5H10O5+H2O]+
"87",87,154.057887581756 / 79.5,154.058 / 79.5,,
