,index,raw data name,raw data name round,chemical_ID_xma,mz_time xma,Name_xma,Formula_xma,MonoisotopicMass_xma,Adduct_xma
1,1,81.5179849604359 / 39.9000015258789,81.518 / 39.9,C20312,81.518 / 39.9,(Z)-2-Methylbutanal oxime,C5H11NO,101.0841,M+Na+K
2,2,82.0191760858652 / 39.9000015258789,82.019 / 39.9,C20485,82.019 / 39.9,(4S)-4-Hydroxy-2-oxoglutarate;(S)-2-Hydroxy-4-oxopentanedioate;L-4-Hydroxy-2-oxoglutarate,C5H6O6,162.0164,M+2H
3,3,83.0576473574949 / 30.8999996185303,83.058 / 30.9,C19262,83.058 / 30.9,4-Methylimidazole,C4H6N2,82.0531,M+H
4,4,83.0576492187378 / 25.5,83.058 / 25.5,C19262,83.058 / 25.5,4-Methylimidazole,C4H6N2,82.0531,M+H
5,5,91.0219167335147 / 39.6279373168945,91.022 / 39.6,C08389,91.022 / 39.6,Propanethial S-oxide;Thiopropanal S-oxide,C3H6OS,90.0139,M+H
6,6,94.0429886347041 / 39.5999984741211,94.043 / 39.6,C18315,94.043 / 39.6,4-Methyl-5-nitrocatechol,C7H7NO4,169.0375,M+H+NH4
7,7,94.5444244486798 / 39.5999984741211,94.544 / 39.6,C19495,94.544 / 39.6,Penicillic acid;3-Methoxy-5-methyl-4-oxo-25-hexadienoic acid,C8H10O4,170.0579,M+H+NH4
8,8,95.0423117613075 / 39.5999984741211,95.042 / 39.6,C15584,95.042 / 39.6,Phenol,C6H6O,94.0419,M+H
9,9,100.074392965554 / 127.199996948242,100.074 / 127.2,C18796,100.074 / 127.2,(2R)-2-Hydroxy-2-methylbutanenitrile;2-Hydroxy-2-methylbutanenitrile,C5H9NO,99.0684,M+H
10,10,102.032572747331 / 39.5999984741211,102.033 / 39.6,C20581,102.033 / 39.6,cis-(Homo)2-aconitate,C8H10O6,202.0477,M+2H
11,11,102.533098879328 / 39.5999984741211,102.533 / 39.6,C20485,102.533 / 39.6,(4S)-4-Hydroxy-2-oxoglutarate;(S)-2-Hydroxy-4-oxopentanedioate;L-4-Hydroxy-2-oxoglutarate,C5H6O6,162.0164,M+ACN+2H
12,12,103.546527920434 / 39.2999992370605,103.547 / 39.3,C19128,103.547 / 39.3,Pydanon;Hexahydro-4-hydroxy-36-dioxopyridazine-4-acetic acid,C6H8N2O5,188.0433,M+H+NH4
13,13,104.105360970295 / 46.5,104.105 / 46.5,C13834,104.105 / 46.5,Tridecane,C13H28,184.2191,M+H+Na
14,14,105.03217356251 / 450.562622070312,105.032 / 450.6,C01010,105.032 / 450.6,Urea-1-carboxylate;Allophanate;Allophanic acid,C2H4N2O3,104.0222,M+H
15,15,105.040591939202 / 43.7244701385498,105.041 / 43.7,C02234,105.041 / 43.7,4-Cyanopyridine,C6H4N2,104.0374,M+H
16,16,110.008023984773 / 39.9000015258789,110.008 / 39.9,C19560,110.008 / 39.9,Toluene diisocyanates,C9H6N2O2,174.0429,M+2Na
17,17,110.017890203856 / 1.79999995231628,110.018 / 1.8,C20559,110.018 / 1.8,4-(beta-D-Ribofuranosyl)aniline 5-phosphate,C11H16NO7P,305.0664,M+2H+Na
18,18,110.017890609979 / 27.8999996185303,110.018 / 27.9,C20559,110.018 / 27.9,4-(beta-D-Ribofuranosyl)aniline 5-phosphate,C11H16NO7P,305.0664,M+2H+Na
19,19,111.53505725799 / 39.2999992370605,111.535 / 39.3,C19473,111.535 / 39.3,4-Nitrobiphenyl;4-Nitro-11-biphenyl,C12H9NO2,199.0633,M+H+Na
20,20,114.06495368033 / 48.5999984741211,114.065 / 48.6,C19280,114.065 / 48.6,3-(N-Nitrosomethylamino)propionitrile;3-(Methylnitrosamino)propionitrile,C4H7N3O,113.0589,M+H
21,21,115.067766555075 / 48.2999992370605,115.068 / 48.3,C19280,115.068 / 48.3,3-(N-Nitrosomethylamino)propionitrile;3-(Methylnitrosamino)propionitrile,C4H7N3O,-,M+H_[+1]
22,22,116.105855852907 / 51.247766494751,116.106 / 51.2,C16834,116.106 / 51.2,1-Pentanol,C5H12O,88.0888,2M+3H2O+2H
23,23,118.084702814779 / 49.2000007629395,118.085 / 49.2,C16436,118.085 / 49.2,Valine,C5H11NO2,117.079,M+H
24,24,120.065011576347 / 52.7999992370605,120.065 / 52.8,C12317,120.065 / 52.8,D-Allothreonine;D-allo-Threonine,C4H9NO3,119.0582,M+H
25,25,120.07918247977 / 131.699996948242,120.079 / 131.7,C20371,120.079 / 131.7,Ecgonone methyl ester,C10H15NO3,197.1052,M+ACN+2H
26,26,121.029162900568 / 191.699996948242,121.029 / 191.7,C08276,121.029 / 191.7,3-(Methylthio)propanoate;3-(Methylthio)propionic acid;3-Methylthiopropionate,C4H8O2S,120.0245,M+H
27,27,121.028463516518 / 249,121.028 / 249,C08276,121.028 / 249,3-(Methylthio)propanoate;3-(Methylthio)propionic acid;3-Methylthiopropionate,C4H8O2S,120.0245,M+H
28,28,121.070554826897 / 52.7999992370605,121.071 / 52.8,C20782,121.071 / 52.8,(S)-2-Phenyloxirane;(S)-Styrene oxide,C8H8O,120.0575,M+H
29,29,121.070522229512 / 78.3000030517578,121.071 / 78.3,C20694,121.071 / 78.3,(2E4E6E)-7-Hydroxy-4-methylhepta-246-trienal,C8H10O2,138.0681,M+H-H2O
30,30,121.070691718454 / 105.599998474121,121.071 / 105.6,C20694,121.071 / 105.6,(2E4E6E)-7-Hydroxy-4-methylhepta-246-trienal,C8H10O2,138.0681,M+H-H2O
31,31,121.071007286355 / 58.7999992370605,121.071 / 58.8,C20782,121.071 / 58.8,(S)-2-Phenyloxirane;(S)-Styrene oxide,C8H8O,120.0575,M+H
32,32,121.063187046906 / 1011.29998779297,121.063 / 1011.3,C20694,121.063 / 1011.3,(2E4E6E)-7-Hydroxy-4-methylhepta-246-trienal,C8H10O2,138.0681,M+H-H2O
