"",index,raw data name,raw data name round,chemical_ID_xma,mz_time xma,Name_xma,Formula_xma,MonoisotopicMass_xma,Adduct_xma
"1",1,81.5179849604359 / 39.9000015258789,81.518 / 39.9,HMDB60495,81.518 / 39.9,N-Formyl-L-aspartate,C5H7NO5,161.032422339,M+2H
"2",2,82.0191760858652 / 39.9000015258789,82.019 / 39.9,HMDB60587,82.019 / 39.9,Aminoethoxyacetic acid,C4H8NO3,118.050418127,M+2Na
"3",3,83.0576473574949 / 30.8999996185303,83.058 / 30.9,HMDB15344,83.058 / 30.9,Fomepizole,C4H6N2,82.053098202,M+H
"4",4,83.0576492187378 / 25.5,83.058 / 25.5,HMDB15344,83.058 / 25.5,Fomepizole,C4H6N2,82.053098202,M+H
"5",5,91.0219167335147 / 39.6279373168945,91.022 / 39.6,HMDB40346,91.022 / 39.6,Thial-1-Propene-1-thiol S-oxide,C3H6OS,90.013935504,M+H
"6",6,94.0429886347041 / 39.5999984741211,94.043 / 39.6,HMDB59834,94.043 / 39.6,Pentylbenzene,C11H16,148.125200512,M+H+K
"7",7,94.5444244486798 / 39.5999984741211,94.544 / 39.6,HMDB59756,94.544 / 39.6,34-Methyleneadipic acid,C8H10O4,170.057908808,M+H+NH4
"8",8,95.0423117613075 / 39.5999984741211,95.042 / 39.6,HMDB00228,95.042 / 39.6,Phenol,C6H6O,94.041864814,M+H
"9",9,100.074392965554 / 127.199996948242,100.074 / 127.2,HMDB60309,100.074 / 127.2,(2R)-2-Hydroxy-2-methylbutanenitrile,C5H9NO,99.068413915,M+H
"10",10,102.032572747331 / 39.5999984741211,102.033 / 39.6,HMDB29555,102.033 / 39.6,45-Dihydro-2-methylthiazole,C4H7NS,101.029919919,M+H
"11",11,102.533098879328 / 39.5999984741211,102.533 / 39.6,HMDB60484,102.533 / 39.6,Indolepyruvate,C11H9NO3,203.058243159,M+2H
"12",12,103.546527920434 / 39.2999992370605,103.547 / 39.3,HMDB60665,103.547 / 39.3,Isonicotinic acid,C6H5NO2,123.032028409,M+2ACN+2H
"13",13,104.105360970295 / 46.5,104.105 / 46.5,HMDB31259,104.105 / 46.5,Neurine,C5H13NO,103.099714043,M+H
"14",14,105.03217356251 / 450.562622070312,105.032 / 450.6,HMDB41015,105.032 / 450.6,4-Mercapto-2-butanone,C4H8OS,104.029585568,M+H
"15",15,105.040591939202 / 43.7244701385498,105.041 / 43.7,HMDB41015,105.041 / 43.7,4-Mercapto-2-butanone,C4H8OS,104.029585568,M+H
"16",16,110.008023984773 / 39.9000015258789,110.008 / 39.9,HMDB61388,110.008 / 39.9,Dimethyl 2-oxoglutarate,C7H10O5,174.05282343,M+2Na
"17",17,110.017890203856 / 1.79999995231628,110.018 / 1.8,HMDB61388,110.018 / 1.8,Dimethyl 2-oxoglutarate,C7H10O5,174.05282343,M+2Na
"18",18,110.017890609979 / 27.8999996185303,110.018 / 27.9,HMDB61388,110.018 / 27.9,Dimethyl 2-oxoglutarate,C7H10O5,174.05282343,M+2Na
"19",19,111.53505725799 / 39.2999992370605,111.535 / 39.3,HMDB40110,111.535 / 39.3,2-Butyl-4-propylthiazole,C10H17NS,183.108170239,M+H+K
"20",20,114.06495368033 / 48.5999984741211,114.065 / 48.6,HMDB00562,114.065 / 48.6,Creatinine,C4H7N3O,113.058911861,M+H
"21",21,115.067766555075 / 48.2999992370605,115.068 / 48.3,HMDB00562,115.068 / 48.3,Creatinine,C4H7N3O,-,M+H_[+1]
"22",22,116.105855852907 / 51.247766494751,116.106 / 51.2,HMDB34203,116.106 / 51.2,N-(2-Methylpropyl)acetamide,C6H13NO,115.099714043,M+H
"23",23,118.084702814779 / 49.2000007629395,118.085 / 49.2,HMDB15550,118.085 / 49.2,Amyl Nitrite,C5H11NO2,117.078978601,M+H
"24",24,120.065011576347 / 52.7999992370605,120.065 / 52.8,HMDB61148,120.065 / 52.8,Hydroxyethyl glycine,C4H9NO3,119.058243159,M+H
"25",25,120.07918247977 / 131.699996948242,120.079 / 131.7,HMDB60739,120.079 / 131.7,3-Amino-2-oxazolidone,C3H6N2O2,102.042927446,M+NH4
"26",26,121.029162900568 / 191.699996948242,121.029 / 191.7,HMDB35646,121.029 / 191.7,Methyl 2-(methylthio)acetate,C4H8O2S,120.02450019,M+H
"27",27,121.028463516518 / 249,121.028 / 249,HMDB35646,121.028 / 249,Methyl 2-(methylthio)acetate,C4H8O2S,120.02450019,M+H
"28",28,121.070554826897 / 52.7999992370605,121.071 / 52.8,HMDB41562,121.071 / 52.8,4-(Methylthio)-1-butanol,C5H12OS,120.060885696,M+H
"29",29,121.070522229512 / 78.3000030517578,121.071 / 78.3,HMDB61095,121.071 / 78.3,18-Hydroxyretinoic acid,C20H28O3,316.203844762,M+H+2Na
"30",30,121.070691718454 / 105.599998474121,121.071 / 105.6,HMDB61095,121.071 / 105.6,18-Hydroxyretinoic acid,C20H28O3,316.203844762,M+H+2Na
"31",31,121.071007286355 / 58.7999992370605,121.071 / 58.8,HMDB41562,121.071 / 58.8,4-(Methylthio)-1-butanol,C5H12OS,120.060885696,M+H
"32",32,121.063187046906 / 1011.29998779297,121.063 / 1011.3,HMDB61095,121.063 / 1011.3,18-Hydroxyretinoic acid,C20H28O3,316.203844762,M+H+2Na
"33",33,121.070631599901 / 96.6000061035156,121.071 / 96.6,HMDB61095,121.071 / 96.6,18-Hydroxyretinoic acid,C20H28O3,316.203844762,M+H+2Na
"34",34,121.070668525859 / 139.5,121.071 / 139.5,HMDB61095,121.071 / 139.5,18-Hydroxyretinoic acid,C20H28O3,316.203844762,M+H+2Na
"35",35,121.070718463847 / 201.899993896484,121.071 / 201.9,HMDB61095,121.071 / 201.9,18-Hydroxyretinoic acid,C20H28O3,316.203844762,M+H+2Na
"36",36,121.063162518084 / 988.350006103516,121.063 / 988.4,HMDB61095,121.063 / 988.4,18-Hydroxyretinoic acid,C20H28O3,316.203844762,M+H+2Na
"37",37,121.070714944662 / 112.5,121.071 / 112.5,HMDB61095,121.071 / 112.5,18-Hydroxyretinoic acid,C20H28O3,316.203844762,M+H+2Na
"38",38,121.070759230425 / 116.399997711182,121.071 / 116.4,HMDB61095,121.071 / 116.4,18-Hydroxyretinoic acid,C20H28O3,316.203844762,M+H+2Na
"39",39,121.070721601164 / 127.200012207031,121.071 / 127.2,HMDB61095,121.071 / 127.2,18-Hydroxyretinoic acid,C20H28O3,316.203844762,M+H+2Na
"40",40,122.545478988868 / 39,122.545 / 39,HMDB61081,122.545 / 39,cevimeline N-oxide,C10H17NOS,199.103084861,M+2Na
"41",41,123.043374766355 / 39,123.043 / 39,HMDB42033,123.043 / 39,Thiodiglycol,C4H10O2S,122.040150254,M+H
"42",42,125.985197696051 / 39.9000015258789,125.985 / 39.9,HMDB42052,125.985 / 39.9,Trimethylselenonium,C3H9Se,124.986947116,M+H
"43",43,126.090427057418 / 210,126.09 / 210,HMDB39583,126.09 / 210,2-Ethyl-5-imino-1-cyclopenten-1-ol,C7H11NO,125.084063979,M+H
"44",44,130.048188380852 / 67.2000045776367,130.048 / 67.2,HMDB61093,130.048 / 67.2,dimethadione,C5H7NO3,129.042593095,M+H
"45",45,130.048242831943 / 509.399993896484,130.048 / 509.4,HMDB61093,130.048 / 509.4,dimethadione,C5H7NO3,129.042593095,M+H
"46",46,130.064239986024 / 920.700012207031,130.064 / 920.7,HMDB38973,130.064 / 920.7,25-Dihydro-245-trimethylthiazole,C6H11NS,129.061220047,M+H
"47",47,130.107801050616 / 49.7999992370605,130.108 / 49.8,HMDB01921,130.108 / 49.8,11-Dimethylbiguanide,C4H11N5,129.101445377,M+H
"48",48,131.047915070976 / 776.099975585938,131.048 / 776.1,HMDB40238,131.048 / 776.1,2-Ethyldihydro-3(2H)-thiophenone,C6H10OS,130.045235632,M+H
"49",49,132.043497154123 / 258.600006103516,132.043 / 258.6,HMDB60946,132.043 / 258.6,NAPQI,C8H7NO2,149.047678473,M+H-H2O
"50",50,132.10044364407 / 84,132.1 / 84,HMDB00687,132.1 / 84,L-Leucine,C6H13NO2,131.094628665,M+H
